X_COORD,Y_COORD,HABITAT
322258,6304409,1
322758,6304409,1
323258,6304409,1
323758,6304409,1
324258,6304409,1
324758,6304409,1
325258,6304409,1
325758,6304409,1
326258,6304409,1
326758,6304409,1
327258,6304409,1
328258,6304409,1
328758,6304409,1
334758,6304409,1
335258,6304409,1
335758,6304409,1
336258,6304409,1
336758,6304409,1
337258,6304409,1
337758,6304409,1
320258,6303909,1
320758,6303909,1
321258,6303909,1
321758,6303909,1
322258,6303909,1
322758,6303909,1
323258,6303909,1
323758,6303909,1
324258,6303909,1
324758,6303909,1
325258,6303909,1
325758,6303909,1
326258,6303909,1
326758,6303909,1
327258,6303909,1
327758,6303909,1
328258,6303909,1
328758,6303909,1
329258,6303909,1
334758,6303909,1
335258,6303909,1
335758,6303909,1
336258,6303909,1
336758,6303909,1
337258,6303909,1
337758,6303909,1
338258,6303909,1
319758,6303409,1
320258,6303409,1
320758,6303409,1
321258,6303409,1
321758,6303409,1
322258,6303409,1
322758,6303409,1
323258,6303409,1
323758,6303409,1
324258,6303409,1
324758,6303409,1
325258,6303409,1
325758,6303409,1
326258,6303409,1
326758,6303409,1
327258,6303409,1
327758,6303409,1
328258,6303409,1
328758,6303409,1
329258,6303409,1
335258,6303409,1
335758,6303409,1
336258,6303409,1
336758,6303409,1
337258,6303409,1
337758,6303409,1
338258,6303409,1
338758,6303409,1
339258,6303409,1
317758,6302909,1
318258,6302909,1
318758,6302909,1
319258,6302909,1
319758,6302909,1
320258,6302909,1
320758,6302909,1
321258,6302909,1
321758,6302909,1
322258,6302909,1
322758,6302909,1
323258,6302909,1
323758,6302909,1
324258,6302909,1
324758,6302909,1
325258,6302909,1
325758,6302909,1
326258,6302909,1
326758,6302909,1
327258,6302909,1
327758,6302909,1
328258,6302909,1
328758,6302909,1
329258,6302909,1
329758,6302909,1
335758,6302909,1
336258,6302909,1
336758,6302909,1
337258,6302909,1
337758,6302909,1
338258,6302909,1
338758,6302909,1
339258,6302909,1
339758,6302909,1
316758,6302409,1
317258,6302409,1
317758,6302409,1
318258,6302409,1
318758,6302409,1
319258,6302409,1
319758,6302409,1
320258,6302409,1
320758,6302409,1
321258,6302409,1
321758,6302409,1
322258,6302409,1
322758,6302409,1
323258,6302409,1
323758,6302409,1
324258,6302409,1
324758,6302409,1
325258,6302409,1
325758,6302409,1
326258,6302409,1
326758,6302409,1
327258,6302409,1
327758,6302409,1
328258,6302409,1
328758,6302409,1
329258,6302409,1
329758,6302409,1
336758,6302409,1
337258,6302409,1
337758,6302409,1
338258,6302409,1
338758,6302409,1
339258,6302409,1
339758,6302409,1
340258,6302409,1
316758,6301909,1
317258,6301909,1
317758,6301909,1
318258,6301909,1
318758,6301909,1
319258,6301909,1
319758,6301909,1
320258,6301909,1
320758,6301909,1
321258,6301909,1
321758,6301909,1
322258,6301909,1
322758,6301909,1
323258,6301909,1
323758,6301909,1
324258,6301909,1
324758,6301909,1
325258,6301909,1
325758,6301909,1
326258,6301909,1
326758,6301909,1
327258,6301909,1
327758,6301909,1
328258,6301909,1
328758,6301909,1
329258,6301909,1
329758,6301909,1
330258,6301909,1
337258,6301909,1
337758,6301909,1
338258,6301909,1
338758,6301909,1
339258,6301909,1
339758,6301909,1
340258,6301909,1
340758,6301909,1
