#Session;ID;Occasion;Detector;Sex
Southern;BF11;170;2D-2.Fkloof;F
Southern;BF6;170;7B-2.Snes;F
Southern;BF11;171;2D-2.Fkloof;F
Southern;BF6;171;7B-2.Snes;F
Southern;BM14;172;2C-1.Lkloof;M
Southern;BF8;173;6A-2.Kberg.kloof;F
Southern;BF9;173;2B-2.Skloof;F
Southern;BM17;173;5E-2.Hhoek.Kkraal;M
Southern;Partial.ID3;174;1G-2.Sttyn.Lkrans;F
Southern;BM13;175;2C-2.Bnek;M
Southern;BM12;177;4B-x.JEnd.train;M
Southern;BM13;177;3C-1.Lkop;M
Southern;BM17;179;5E-2.Hhoek.Kkraal;M
Southern;BM14;180;2C-1.Lkloof;M
Southern;BM13;182;2C-1.Lkloof;M
Southern;BF11;184;2D-2.Fkloof;F
Southern;BM13;184;2C-2.Bnek;M
Southern;BM16;184;2E-2.Rbos;M
Southern;BF8;185;5B-2.Rview.Wkloof;F
Southern;BF11;186;2D-1.Akloof;F
Southern;BF9;186;3B-1.Lford.Gnek;F
Southern;BM13;186;2C-1.Lkloof;M
Southern;BM12;187;6A-2.Kberg.kloof;M
Southern;BM13;188;3B-1.Lford.Gnek;M
Southern;BM12;189;7B-1.Kberg.trail;M
Southern;BF6;191;6A-1.Kberg.basin;F
Southern;BM12;192;7C-2.Pberg;M
Southern;BM13;192;3C-1.Lkop;M
Southern;BF11;193;2D-2.Fkloof;F
Southern;BF12;193;3C-1.Lkop;F
Southern;BM5;193;1G-2.Sttyn.Lkrans;M
Southern;BM16;195;2E-2.Rbos;M
Southern;BM4;196;1E-2.MRNR.Ukyk;M
Southern;BM13;197;2C-2.Bnek;M
Southern;Partial.ID13;197;3C-x.SPass;M
Southern;BF10;200;1B-2.SPeak;F
Southern;BM14;200;1B-2.SPeak;M
Southern;BM14;200;2C-1.Lkloof;M
Southern;BM14;200;2C-2.Bnek;M
Southern;BM12;202;5A-2.Sbras.quarry;M
Southern;BM12;203;4B-x.JEnd.train;M
Southern;BM14;204;2C-1.Lkloof;M
Southern;BM16;204;2F-2.SOS;M
Southern;BM13;205;2C-1.Lkloof;M
Southern;BM5;206;1G-2.Sttyn.Lkrans;M
Southern;BM5;207;1G-2.Sttyn.Lkrans;M
Southern;BF12;208;3C-1.Lkop;F
Southern;BM12;209;6A-2.Kberg.kloof;M
Southern;BF11;210;2D-1.Akloof;F
Southern;BM12;210;6A-1.Kberg.basin;M
Southern;BM12;210;7B-1.Kberg.trail;M
Southern;BM13;211;2C-2.Bnek;M
Southern;BM14;212;2C-1.Lkloof;M
Southern;BM16;212;2E-2.Rbos;M
Southern;BM17;212;6E-2.Hteq;M
Southern;BF9;213;3B-1.Lford.Gnek;F
Southern;BM14;213;2C-2.Bnek;M
Southern;BM17;213;4D-2.DRust;M
Southern;BM13;214;2C-1.Lkloof;M
Southern;BF10;215;1B-2.SPeak;F
Southern;BM17;215;4E-2.Gberg.Tfntn;M
Southern;BF12;217;2C-2.Bnek;F
Southern;BF11;218;2D-1.Akloof;F
Southern;BF11;219;2D-1.Akloof;F
Southern;BF7;219;5A-2.Sbras.quarry;F
Southern;BM13;220;4B-2.Vgelegen.S;M
Southern;BM17;222;5E-2.Hhoek.Kkraal;M
Southern;BF8;223;5B-2.Rview.Wkloof;F
Southern;BM13;223;2C-2.Bnek;M
Southern;BM14;223;2D-1.Akloof;M
Southern;BM12;224;4C-2.BPad;M
Southern;BM13;224;2C-1.Lkloof;M
Southern;BM16;225;2D-2.Fkloof;M
Southern;BF7;226;5B-1.Sbras.sand;F
Southern;BM16;226;1E-1.Lvlakte;M
Southern;BM17;226;4D-1.Gberg.Mara;M
Southern;BM17;226;4D-2.DRust;M
Southern;BM29;226;2D-1.Akloof;M
Southern;BM17;227;3D-2.Orchard;M
Southern;BM14;228;2C-1.Lkloof;M
Southern;BM13;229;2C-1.Lkloof;M
Southern;BM14;229;2B-1.Sbos;M
Southern;BF11;230;2D-1.Akloof;F
Southern;BM12;230;7B-1.Kberg.trail;M
Southern;BM17;230;3C-x.SPass;M
Southern;BM17;230;4C-2.BPad;M
Southern;BM13;231;2B-2.Skloof;M
Southern;BM16;231;2E-2.Rbos;M
Southern;BM12;232;7D-2.Hklip;M
Southern;BM17;234;5E-2.Hhoek.Kkraal;M
Southern;BM16;235;2E-1.Mwater;M
Southern;BM14;237;2C-1.Lkloof;M
Southern;Partial.ID13;238;2B-1.Sbos;F
Southern;BM13;239;2C-2.Bnek;M
Southern;BM12;240;5A-2.Sbras.quarry;M
Southern;BF10;241;1B-2.SPeak;F
Southern;BM14;241;2C-1.Lkloof;M
Southern;BM14;241;2C-2.Bnek;M
Southern;BM14;241;2D-1.Akloof;M
Southern;BM12;242;5A-2.Sbras.quarry;M
Southern;BM12;243;4B-1.HKop;M
Southern;BF7;245;5A-2.Sbras.quarry;F
Southern;BM12;245;5B-1.Sbras.sand;M
Southern;BM12;245;6A-1.Kberg.basin;M
Southern;BM13;246;2C-1.Lkloof;M
Southern;BM12;247;7A-1.Lbos;M
Southern;BM17;247;4D-2.DRust;M
Southern;BF11;248;2D-1.Akloof;F
Southern;BM13;248;2B-1.Sbos;M
Southern;BM17;252;4D-2.DRust;M
Southern;BM13;253;2C-1.Lkloof;M
Southern;BM14;255;1B-2.SPeak;M
Southern;BM17;255;4D-2.DRust;M
Southern;BM13;257;3B-2.Vgelegen.N;M
Southern;BM12;258;6A-2.Kberg.kloof;M
Southern;BF8;259;6A-2.Kberg.kloof;F
Southern;BF7;260;5A-2.Sbras.quarry;F
Southern;BM12;260;7C-1.Pvallei;M
